t,prn,elev,az,snr,const
80743.0,11,85.0,220.0,,GP
80743.0,12,62.0,305.0,19.0,GP
80743.0,6,54.0,45.0,28.0,GP
80743.0,20,37.0,161.0,,GP
80743.0,19,32.0,76.0,,GP
80743.0,25,29.0,313.0,30.0,GP
80743.0,24,19.0,226.0,,GP
80743.0,22,10.0,138.0,,GP
80743.0,17,10.0,86.0,,GP
80743.0,5,7.0,182.0,17.0,GP
80743.0,29,2.0,277.0,,GP
80743.0,86,63.0,298.0,,GL
80743.0,76,63.0,290.0,,GL
80743.0,85,42.0,33.0,20.0,GL
80743.0,75,39.0,180.0,,GL
80743.0,77,22.0,328.0,,GL
80743.0,87,20.0,252.0,,GL
80743.0,69,9.0,31.0,23.0,GL
80743.0,27,68.0,158.0,,GA
80743.0,13,65.0,231.0,12.0,GA
80743.0,15,57.0,43.0,18.0,GA
80743.0,21,53.0,308.0,0.0,GA
80743.0,30,16.0,142.0,,GA
80743.0,26,12.0,228.0,,GA
80743.0,34,7.0,46.0,5.0,GA
80743.0,27,70.0,307.0,,GB
80743.0,46,53.0,261.0,13.0,GB
80743.0,28,47.0,53.0,21.0,GB
80743.0,30,24.0,264.0,2.0,GB
80743.0,36,22.0,314.0,24.0,GB
80743.0,33,19.0,77.0,,GB
80743.0,41,14.0,127.0,,GB
80743.0,14,12.0,52.0,,GB
80743.0,39,5.0,332.0,28.0,GB
80743.0,42,3.0,29.0,27.0,GB
80743.0,16,1.0,340.0,,GB
80743.0,28,47.0,53.0,1.0,GB
80743.0,36,22.0,314.0,20.0,GB
80743.0,39,5.0,332.0,17.0,GB
80743.0,42,3.0,29.0,2.0,GB
80748.0,11,85.0,220.0,,GP
80748.0,12,62.0,305.0,18.0,GP
80748.0,6,54.0,45.0,28.0,GP
80748.0,20,37.0,161.0,,GP
80748.0,19,32.0,76.0,,GP
80748.0,25,29.0,313.0,30.0,GP
80748.0,24,19.0,226.0,,GP
80748.0,22,10.0,138.0,,GP
80748.0,17,10.0,86.0,,GP
80748.0,5,7.0,182.0,16.0,GP
80748.0,29,2.0,277.0,,GP
80748.0,76,63.0,290.0,,GL
80748.0,86,63.0,298.0,,GL
80748.0,85,42.0,33.0,20.0,GL
80748.0,75,39.0,180.0,,GL
80748.0,77,22.0,328.0,,GL
80748.0,87,20.0,252.0,,GL
80748.0,69,9.0,31.0,22.0,GL
80748.0,27,68.0,158.0,,GA
80748.0,13,65.0,231.0,10.0,GA
80748.0,15,57.0,43.0,17.0,GA
80748.0,21,53.0,308.0,0.0,GA
80748.0,30,16.0,142.0,,GA
80748.0,26,12.0,228.0,,GA
80748.0,34,7.0,46.0,,GA
80748.0,27,70.0,307.0,,GB
80748.0,46,53.0,261.0,17.0,GB
80748.0,28,47.0,53.0,21.0,GB
80748.0,30,24.0,264.0,2.0,GB
80748.0,36,22.0,314.0,17.0,GB
80748.0,33,19.0,77.0,,GB
80748.0,14,12.0,52.0,,GB
80748.0,39,5.0,332.0,2.0,GB
80748.0,42,3.0,29.0,28.0,GB
80748.0,16,1.0,340.0,,GB
80748.0,36,22.0,314.0,1.0,GB
80748.0,39,5.0,332.0,17.0,GB
80748.0,42,3.0,29.0,23.0,GB
80753.0,11,85.0,220.0,,GP
80753.0,12,62.0,305.0,19.0,GP
80753.0,6,54.0,45.0,26.0,GP
80753.0,20,37.0,161.0,,GP
80753.0,19,32.0,76.0,,GP
80753.0,25,29.0,313.0,29.0,GP
80753.0,24,19.0,226.0,,GP
80753.0,22,10.0,138.0,,GP
80753.0,17,10.0,86.0,,GP
80753.0,5,7.0,182.0,17.0,GP
80753.0,29,2.0,277.0,,GP
80753.0,76,63.0,290.0,,GL
80753.0,86,63.0,298.0,,GL
80753.0,85,42.0,33.0,22.0,GL
80753.0,75,39.0,180.0,,GL
80753.0,77,22.0,328.0,,GL
80753.0,87,20.0,252.0,,GL
80753.0,69,9.0,31.0,23.0,GL
80753.0,27,68.0,158.0,,GA
80753.0,13,66.0,233.0,10.0,GA
80753.0,15,57.0,43.0,19.0,GA
80753.0,21,53.0,308.0,,GA
80753.0,30,16.0,142.0,,GA
80753.0,26,12.0,228.0,,GA
80753.0,34,7.0,46.0,,GA
80753.0,27,70.0,307.0,,GB
80753.0,46,53.0,261.0,14.0,GB
80753.0,28,47.0,53.0,18.0,GB
80753.0,30,24.0,264.0,2.0,GB
80753.0,36,22.0,314.0,17.0,GB
80753.0,33,19.0,77.0,,GB
80753.0,14,12.0,52.0,,GB
80753.0,39,5.0,332.0,2.0,GB
80753.0,42,3.0,29.0,25.0,GB
80753.0,16,1.0,340.0,,GB
80753.0,36,22.0,314.0,1.0,GB
80753.0,39,5.0,332.0,16.0,GB
80753.0,42,3.0,29.0,19.0,GB
80758.0,11,85.0,220.0,,GP
80758.0,12,62.0,305.0,19.0,GP
80758.0,6,54.0,45.0,24.0,GP
80758.0,20,37.0,161.0,,GP
80758.0,19,32.0,76.0,15.0,GP
80758.0,25,29.0,313.0,27.0,GP
80758.0,24,19.0,226.0,,GP
80758.0,22,10.0,138.0,,GP
80758.0,17,10.0,86.0,,GP
80758.0,5,7.0,182.0,18.0,GP
80758.0,29,2.0,277.0,,GP
80758.0,86,63.0,298.0,,GL
80758.0,76,63.0,290.0,,GL
80758.0,85,42.0,33.0,35.0,GL
80758.0,75,39.0,180.0,,GL
80758.0,77,22.0,328.0,,GL
80758.0,87,20.0,252.0,,GL
80758.0,69,9.0,31.0,25.0,GL
80758.0,27,68.0,158.0,,GA
80758.0,13,66.0,233.0,8.0,GA
80758.0,15,56.0,43.0,19.0,GA
80758.0,21,53.0,308.0,,GA
80758.0,30,16.0,142.0,,GA
80758.0,26,12.0,228.0,,GA
80758.0,34,7.0,46.0,13.0,GA
80758.0,27,70.0,307.0,17.0,GB
80758.0,46,53.0,261.0,13.0,GB
80758.0,28,47.0,53.0,24.0,GB
80758.0,30,24.0,264.0,2.0,GB
80758.0,36,22.0,314.0,24.0,GB
80758.0,33,19.0,77.0,,GB
80758.0,41,14.0,127.0,,GB
80758.0,14,12.0,52.0,,GB
80758.0,39,5.0,332.0,29.0,GB
80758.0,42,3.0,29.0,25.0,GB
80758.0,16,1.0,340.0,,GB
80758.0,36,22.0,314.0,16.0,GB
80758.0,39,5.0,332.0,16.0,GB
80758.0,42,3.0,29.0,17.0,GB
80763.0,11,85.0,220.0,,GP
80763.0,12,62.0,305.0,18.0,GP
80763.0,6,54.0,45.0,23.0,GP
80763.0,20,37.0,161.0,,GP
80763.0,19,32.0,76.0,15.0,GP
80763.0,25,29.0,313.0,27.0,GP
80763.0,24,19.0,226.0,,GP
80763.0,22,10.0,138.0,,GP
80763.0,17,10.0,86.0,,GP
80763.0,5,7.0,182.0,16.0,GP
80763.0,29,2.0,277.0,,GP
80763.0,86,63.0,298.0,,GL
80763.0,76,63.0,290.0,,GL
80763.0,85,42.0,33.0,37.0,GL
80763.0,75,39.0,180.0,,GL
80763.0,77,22.0,328.0,,GL
80763.0,87,20.0,252.0,16.0,GL
80763.0,69,9.0,31.0,24.0,GL
80763.0,27,68.0,158.0,,GA
80763.0,13,66.0,233.0,9.0,GA
80763.0,15,56.0,43.0,13.0,GA
80763.0,21,54.0,308.0,,GA
80763.0,30,16.0,142.0,,GA
