t,h1,h2
2024-04-13 12:00:00,1.98,1.89
2024-04-13 15:00:00,1.83,
2024-04-13 16:30:00,,
2024-04-13 18:00:00,,
2024-04-13 19:30:00,2.0,1.86
2024-04-13 21:00:00,,
2024-04-13 22:30:00,,
2024-04-14 00:00:00,1.98,
2024-04-14 01:30:00,1.46,2.03
2024-04-14 03:00:00,,1.95
2024-04-14 04:30:00,,
2024-04-14 06:00:00,,2.05
2024-04-14 07:30:00,1.96,
2024-04-14 09:00:00,1.99,
2024-04-14 10:30:00,,1.99
2024-04-14 12:00:00,2.02,1.71
2024-04-14 13:30:00,2.01,
2024-04-14 16:30:00,1.86,
2024-04-14 18:00:00,2.0,
2024-04-14 19:30:00,,1.82
2024-04-14 21:00:00,2.02,
2024-04-14 22:30:00,,
2024-04-15 00:00:00,1.93,
2024-04-15 01:30:00,,
2024-04-15 03:00:00,,2.02
2024-04-15 04:30:00,,1.92
2024-04-15 06:00:00,,1.95
2024-04-15 07:30:00,1.86,1.89
2024-04-15 09:00:00,,
2024-04-15 10:30:00,,1.93
2024-04-15 12:00:00,,
2024-04-15 13:30:00,,1.75
2024-04-15 15:00:00,1.82,
2024-04-15 16:30:00,1.88,
2024-04-15 19:30:00,,
2024-04-15 21:00:00,,
2024-04-15 22:30:00,1.96,1.93
2024-04-16 00:00:00,1.62,
2024-04-16 01:30:00,,
2024-04-16 03:00:00,,
2024-04-16 04:30:00,,
2024-04-16 06:00:00,,
2024-04-16 07:30:00,,
2024-04-16 09:00:00,2.0,2.02
2024-04-16 10:30:00,,1.71
2024-04-16 13:30:00,2.08,
2024-04-16 15:00:00,,
2024-04-16 16:30:00,,
2024-04-16 19:30:00,,
2024-04-16 21:00:00,,
2024-04-16 22:30:00,1.91,1.83
2024-04-17 00:00:00,,1.26
2024-04-17 01:30:00,,
2024-04-17 03:00:00,,2.01
2024-04-17 04:30:00,,2.04
2024-04-17 06:00:00,,
2024-04-17 07:30:00,1.85,
2024-04-17 09:00:00,1.8,
2024-04-17 12:00:00,,
2024-04-17 13:30:00,1.5,1.34
2024-04-17 16:30:00,,1.5
2024-04-17 18:00:00,,
2024-04-17 19:30:00,,
2024-04-17 21:00:00,2.01,1.91
2024-04-17 22:30:00,,
2024-04-18 01:30:00,2.08,
2024-04-18 04:30:00,1.4,1.9
2024-04-18 06:00:00,,1.43
2024-04-18 09:00:00,,2.02
2024-04-18 10:30:00,,1.95
